exp_id,lora_rank,lt_weight,teleport_reg,teleport_lr,class_il,avg_lt,cos_pos_rate,mean_cos_improve,avg_delta_norm,notes
H9_E_rank8,8,50,0.1,0.01,29.13,1.651,0.625,0.323,13,H9 reference
E_lt200,8,200,0.1,0.01,47.17,1.428,0.897,0.536,15.68,4x lt_weight
E_lt500,8,500,0.1,0.01,49.73,1.724,0.899,0.555,16.38,10x lt_weight; best acc so far
E_lt200_reg1,8,200,1.0,0.01,42.23,2.043,0.896,0.541,12.23,higher reg reduces delta_norm but worsens lt and acc
E_lt200_lr001,8,200,0.1,0.001,60.54,0.070,0.910,0.048,0.478,BREAKTHROUGH: first result above baseline; small lr keeps delta_norm=0.478 and lt=0.070
E_lt500_lr001,8,500,0.1,0.001,61.30,0.074,0.901,0.047,0.475,best rank=8; marginal gain over lt200
E_rank4_lt200_lr001,4,200,0.1,0.001,61.18,0.035,0.913,0.027,0.321,rank=4 matches rank=8; confirms teleport_lr is key not rank
