task,n_checks,mean_cos_sim,std_cos_sim,neg_frac,peak_acc,final_acc,forgetting
0,0,,,,97.80,44.40,53.40
1,313,-0.2337,0.2587,0.808,86.90,44.55,42.35
2,313,-0.2214,0.2532,0.796,58.55,60.05,-1.50
3,313,-0.2680,0.2324,0.847,95.75,75.45,20.30
4,313,-0.1312,0.1854,0.764,95.90,95.90,0.00
