task,n_checks,mean_cos_sim,std_cos_sim,neg_frac,peak_acc,final_acc,forgetting
0,0,,,,98.05,47.20,50.85
1,313,-0.1730,0.2646,0.706,87.40,33.45,53.95
2,313,-0.2524,0.2666,0.831,92.40,55.20,37.20
3,313,-0.2141,0.2406,0.770,94.60,74.15,20.45
4,313,-0.1329,0.1881,0.751,97.10,97.10,0.00
